HINT	ANSWER	ISNAME	TYPEIN
Полабский язык (†)	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Кашубский язык	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Верхнелужицкий язык	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Нижнелужицкий язык	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Чешский язык	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Словацкий язык	Западнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Болгарский язык	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Старославянский язык (†)	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Македонский язык	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Хорватский язык	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Боснийский язык	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Словенский язык	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Сербский язык	Южнославянские языки<br>Славянская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(ЮЖНОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|(ПОД)?ГРУПП[АЫ])СЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Литовский язык	Балтийская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(БАЛТИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Латышский язык	Балтийская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(БАЛТИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Латгальский язык	Балтийская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(БАЛТИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Прусский язык (†)	Балтийская группа<br>Балтославянская ветвь<br>Индоевропейская семья	N	r:^(БАЛТИЙСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])(БАЛТОСЛАВЯНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ]))?ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Английский язык	Западногерманская группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Немецкий язык	Западногерманская группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Идиш	Западногерманская группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Голландский (нидерландский) язык	Западногерманская группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
Африкаанс	Западногерманская группа<br>Германская ветвь<br>Индоевропейская семья	N	r:^(ЗАПАДНОГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ГЕРМАНСК(ИЕ|ИХ|АЯ|ОЙ)(ЯЗЫК(И|ОВ)|ВЕТВ[ЬИ]|ГРУПП[АЫ])ИНДОЕВРОПЕЙСК(ИЕ|ИХ|АЯ|ОЙ)((ЯЗЫКОВ(АЯ|ОЙ))?СЕМЬ[ЯИ](ЯЗЫКОВ)?|ЯЗЫК(И|ОВ)))$
